time	serving_cell_id	ue_id	distance_to_cell(m)	throughput(Mb/s)	sc_power(dBm)	rsrp(dBm)	noise_power(dBm)	sinr(dB)	cqi	mcs
0.0	0	9320	219.49852885139774	-inf	10.0	-inf	-118.0			
0.0	0	3178	193.09265294933994	-inf	10.0	-inf	-118.0			
0.0	0	1131	221.69114613697585	-inf	10.0	-inf	-118.0			
0.0	0	3189	189.2435677662208	-inf	10.0	-inf	-118.0			
0.0	0	7288	246.690878854134	-inf	10.0	-inf	-118.0			
0.0	0	5249	69.71145386382173	-inf	10.0	-inf	-118.0			
0.0	0	9349	248.02004675913733	-inf	10.0	-inf	-118.0			
0.0	0	5261	84.7062944986484	-inf	10.0	-inf	-118.0			
0.0	0	9361	202.7769323596227	-inf	10.0	-inf	-118.0			
0.0	0	3232	261.4995761967442	-inf	10.0	-inf	-118.0			
0.0	0	3242	142.00605342892055	-inf	10.0	-inf	-118.0			
0.0	0	7340	155.69271866687	-inf	10.0	-inf	-118.0			
0.0	0	5294	265.2410015736782	-inf	10.0	-inf	-118.0			
0.0	0	9392	77.33882139034532	-inf	10.0	-inf	-118.0			
0.0	0	5298	45.24652617087886	-inf	10.0	-inf	-118.0			
0.0	0	1203	132.14177296252313	-inf	10.0	-inf	-118.0			
0.0	0	5299	253.4168166440921	-inf	10.0	-inf	-118.0			
0.0	0	1210	58.14783642059885	-inf	10.0	-inf	-118.0			
0.0	0	7362	102.47952297389034	-inf	10.0	-inf	-118.0			
0.0	0	5334	159.47604866384322	-inf	10.0	-inf	-118.0			
0.0	0	7384	42.16173150272482	-inf	10.0	-inf	-118.0			
0.0	0	1262	243.49506545923066	-inf	10.0	-inf	-118.0			
0.0	0	3311	255.2757761394763	-inf	10.0	-inf	-118.0			
0.0	0	5359	153.87943687765036	-inf	10.0	-inf	-118.0			
0.0	0	9462	94.47642060328981	-inf	10.0	-inf	-118.0			
0.0	0	7417	239.23077721406398	-inf	10.0	-inf	-118.0			
0.0	0	3324	242.33856170603286	-inf	10.0	-inf	-118.0			
0.0	0	3333	223.42120412763282	-inf	10.0	-inf	-118.0			
0.0	0	5386	143.07799945174466	-inf	10.0	-inf	-118.0			
0.0	0	7436	78.25547745224729	-inf	10.0	-inf	-118.0			
0.0	0	7438	261.3535579589342	-inf	10.0	-inf	-118.0			
0.0	0	3350	153.06240386128917	-inf	10.0	-inf	-118.0			
0.0	0	5404	244.29732426274703	-inf	10.0	-inf	-118.0			
0.0	0	9504	232.1215544478023	-inf	10.0	-inf	-118.0			
0.0	0	3361	247.20358725693615	-inf	10.0	-inf	-118.0			
0.0	0	5409	151.2879230421151	-inf	10.0	-inf	-118.0			
0.0	0	3365	240.43849887220998	-inf	10.0	-inf	-118.0			
0.0	0	5420	51.74997549887911	-inf	10.0	-inf	-118.0			
0.0	0	7470	232.8554418940476	-inf	10.0	-inf	-118.0			
0.0	0	9519	88.64297284282716	-inf	10.0	-inf	-118.0			
0.0	0	9532	146.1761257035398	-inf	10.0	-inf	-118.0			
0.0	0	1341	116.41810983172972	-inf	10.0	-inf	-118.0			
